"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
51,"Laslo Djere",24,1778.8,1347.4,"1787.7","1285.5","2019 Roland Garros R32",24,1795.9
52,"Radu Albot",29.6,1778.4,1708.5,"1600.5","1510.8","2019 Geneva SF",29.5,1793.5
53,"Jordan Thompson",25.1,1778.2,1699.4,"1557.2","1604.6","2019 S-Hertogenbosch F",25.1,1791.5
54,"Alex De Minaur",20.3,1777.5,1789.4,"1384.9","1560.0","2019 Acapulco QF",20,1923.6
55,"Jeremy Chardy",32.3,1776.8,1659.2,"1678.0","1642.4","2009 Cincinnati Masters R16",22.5,1896.7
56,"Leonardo Mayer",32,1776.8,1660.3,"1726.9","1477.8","2015 Canada Masters R32",28.2,1873.1
57,"Pablo Cuevas",33.4,1773.1,1598.4,"1750.1","1549.0","2016 Nottingham F",30.5,1909
58,"Adrian Mannarino",30.9,1766.8,1625.8,"1521.4","1739.5","2018 Australian Open R32",29.6,1875.2
59,"Yoshihito Nishioka",23.7,1765,1734.9,"1428.7","1426.8","2018 Traralgon CH F",23.1,1807.3
60,"Francis Tiafoe",21.4,1764.7,1689.5,"1649.2","1520.7","2018 Estoril F",20.3,1861.3
61,"Nicolas Jarry",23.7,1763.6,1553.2,"1705.3","1423.3","2018 Shanghai Masters R16",23,1811.2
62,"Aljaz Bedene",29.9,1756.7,1606.8,"1731.2","1564.6","2017 Wimbledon R32",28,1881.9
63,"Casper Ruud",20.4,1754.1,1516.6,"1692.6","1421.9","2019 Prostejov CH SF",20.4,1771.2
64,"Mikhail Kukushkin",31.5,1753.9,1718.3,"1563.6","1464.5","2010 Astana2 CH R32",22.9,1850.1
65,"Damir Dzumhur",27,1753.5,1650.6,"1599.5","1619.9","2018 Dubai R16",25.8,1886.9
66,"Federico Delbonis",28.6,1752.8,1599.9,"1722.8","1205.5","2017 Hamburg SF",26.8,1850.8
67,"Ricardas Berankis",28.9,1750.2,1702.7,"1517.6","1366.2","2010 Vancouver CH F",20.1,1807.6
68,"Reilly Opelka",21.7,1749.1,1730.3,"1559.4","1421.8","2019 Miami Masters R32",21.6,1821.3
69,"Hyeon Chung",22.7,1746.8,1643.6,"1649.3","1302.4","2018 Miami Masters QF",21.8,1978.3
70,"Pablo Andujar",33.4,1746.6,1467.9,"1735.8","1258.0","2015 Roland Garros R32",29.3,1787.5
71,"John Millman",30,1741.7,1683.7,"1632.5","1523.7","2016 Winston-Salem SF",27.2,1845.3
72,"Thanasi Kokkinakis",23,1740.3,1675.9,"1608.0","1434.7","2015 Queen's Club R16",19.2,1866.9
73,"Marco Cecchinato",26.7,1739.8,1371.1,"1767.0","1457.4","2018 Hamburg R32",25.8,1832.6
74,"Andrey Rublev",21.7,1739.2,1719.2,"1532.4","1383.5","2018 Rotterdam QF",20.3,1913.1
75,"Andreas Seppi",35.3,1739,1685,"1604.1","1629.1","2013 Australian Open R16",28.9,1905
76,"Vasek Pospisil",28.4,1734.3,1688.7,"1281.1","1468.6","2015 Valencia SF",25.3,1857.6
77,"Roberto Carballes Baena",26.2,1727.4,1482.4,"1706.5","1299.8","2019 London Qual",26.2,1745.2
