"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
179,"Gastao Elias",30.6,1565,"1362.0","1539.4","1262.2",1463.5,1552.2,1413.6,"2016 Rio Olympics R64",25.7,1723.9
180,"Blaz Kavcic",34.2,1564.7,"1441.6","1507.5","1377.1",1503.1,1536.1,1470.9,"2009 Rijeka CH SF",22.3,1763.1
181,"Mischa Zverev",33.7,1564.3,"1519.3","1475.9","1568.5",1541.8,1520.1,1566.4,"2017 Australian Open R16",29.4,1861.8
182,"Pedro Sousa",33,1561.6,"1201.4","1541.3","1422.2",1381.5,1551.4,1491.9,"2017 Rome CH R32",29.3,1698.7
183,"Altug Celikbilek",24.7,1559.7,"1446.0","1279.6","1547.0",1502.9,1419.6,1553.4,"2021 Stuttgart Qual",24.7,1569.5
184,"Yuichi Sugita",32.7,1559.4,"1500.4","1331.9","1549.2",1529.9,1445.7,1554.3,"2017 Cincinnati R16",28.9,1788.9
185,"Zhizhen Zhang",24.7,1558.9,"1419.0","1482.0","1427.4",1488.9,1520.5,1493.2,"2020 Bendigo CH R64",23.2,1623.5
186,"Blaz Rola",30.7,1557.5,"1478.1","1504.4","1452.1",1517.8,1531,1504.8,"2014 Panama City CH SF",23.4,1729.7
187,"Mats Moraing",29,1555.9,"1357.8","1556.7","1408.3",1456.9,1556.3,1482.1,"2018 Mexico City CH R32",25.8,1687.6
188,"Enzo Couacaud",26.3,1555.2,"1546.4","1433.4","1462.7",1550.8,1494.3,1509,"2020 Pau CH R32",25,1622.4
189,"Jiri Lehecka",19.6,1554.2,"1476.5","1465.4","1500.0",1515.4,1509.8,1527.1,"2021 Bratislava CH R16",19.6,1611.6
190,"Marcelo Tomas Barrios Vera",23.5,1554.1,"1297.6","1510.6","1329.4",1425.8,1532.3,1441.7,"2021 Almaty CH SF",23.5,1574.1
191,"Christian Harrison",27,1551.3,"1450.3","1448.1","1542.5",1500.8,1499.7,1546.9,"2018 Newport R32",24.1,1595.2
192,"Sebastian Ofner",25.1,1550.9,"1530.8","1397.6","1506.2",1540.8,1474.2,1528.5,"2017 Vancouver CH R32",21.3,1699.6
193,"Guido Andreozzi",29.8,1550.2,"1453.2","1530.8","1243.4",1501.7,1540.5,1396.8,"2018 Roland Garros Qual",26.8,1734
194,"Jurij Rodionov",22.1,1550,"1524.2","1346.1","1390.9",1537.1,1448,1470.5,"2018 Astana CH QF",19.2,1691.9
195,"Lukas Rosol",35.9,1548.4,"1502.2","1479.9","1507.9",1525.3,1514.1,1528.2,"2014 Winston-Salem F",29.1,1880.6
196,"Kyrian Jacquet",20.1,1548.2,"1410.0","1432.3","-",1479.1,1490.3,1474.1,"2021 Aix-En-Provence CH QF",20.1,1573.1
197,"Ernesto Escobedo",24.9,1544.3,"1550.3","1376.8","1442.7",1547.3,1460.5,1493.5,"2017 Houston QF",20.8,1757.1
198,"Kimmer Coppejans",27.3,1542.1,"1475.0","1472.8","1176.5",1508.6,1507.4,1359.3,"2015 Turin CH SF",21.2,1686.6
199,"Alexandre Muller",24.4,1541.9,"1442.3","1481.8","1350.6",1492.1,1511.9,1446.3,"2021 Australian Open R128",24,1616.7
200,"Denis Istomin",34.8,1539.7,"1508.8","1457.5","1432.6",1524.2,1498.6,1486.2,"2012 Indian Wells R32",25.5,1849.3
201,"Ernests Gulbis",32.8,1539.6,"1533.8","1454.5","1484.2",1536.7,1497.1,1511.9,"2014 Roland Garros QF",25.7,2048.2
202,"Thai Son Kwiatkowski",26.3,1537.3,"1441.7","1452.1","1272.1",1489.5,1494.7,1404.7,"2020 Indian Wells CH R64",25,1634.2
203,"Daniel Masur",27,1535.7,"1536.3","1334.1","1275.0",1536,1434.9,1405.4,"2021 Lugano CH R16",26.8,1605.6
204,"Filip Horansky",28.4,1535.7,"1376.7","1485.1","1242.8",1456.2,1510.4,1389.3,"2021 Quimper 1 CH SF",28,1586.4
205,"Lukas Lacko",33.6,1533,"1445.6","1277.9","1565.6",1489.3,1405.4,1549.3,"2012 Dallas2 CH R16",24.3,1793.1
206,"Sergiy Stakhovsky",35.4,1531.2,"1452.1","1473.1","1527.0",1491.7,1502.1,1529.1,"2010 Kuala Lumpur R32",24.7,1844.4
207,"Vit Kopriva",24,1530,"1345.2","1490.1","-",1437.6,1510,1465,"2021 Prague CH R16",23.9,1581
208,"Thomas Fabbiano",32.1,1526.9,"1421.3","1467.2","1567.9",1474.1,1497,1547.4,"2017 Eastbourne R32",28.1,1694.7
209,"Andrea Arnaboldi",33.2,1524.4,"1458.0","1403.7","1501.6",1491.2,1464,1513,"2015 Cortina CH QF",27.6,1593.7
210,"Michael Vrbensky",21.5,1524.2,"1272.5","1484.4","-",1398.4,1504.3,1462.1,"2021 Prague CH QF",21.4,1556.9
211,"Dustin Brown",36.5,1523.9,"1401.7","1546.5","1538.6",1462.8,1535.2,1531.2,"2017 Montpellier R16",32.2,1779.2
212,"Tobias Kamke",35.1,1522.7,"1454.4","1398.5","1459.0",1488.6,1460.6,1490.8,"2012 Australian Open R128",25.7,1755
213,"Federico Gaio",29.3,1522.6,"1479.3","1453.7","1272.0",1501,1488.1,1397.3,"2019 San Benedetto CH QF",27.4,1603.6
214,"Renzo Olivo",29.2,1521.9,"1325.2","1482.9","1266.4",1423.6,1502.4,1394.2,"2015 Buenos Aires R32",22.9,1651.7
215,"Ruben Bemelmans",33.4,1521.7,"1464.2","1369.6","1567.6",1493,1445.7,1544.7,"2012 Orleans CH SF",24.7,1707.9
216,"Emilio Gomez",29.5,1521.4,"1500.4","1388.9","1224.5",1510.9,1455.1,1372.9,"2019 Tallahassee CH F",27.4,1595.4
217,"Jason Jung",32,1521.2,"1491.7","1337.3","1352.7",1506.5,1429.3,1436.9,"2018 Zhuhai CH QF",28.7,1652.3
218,"Lukas Klein",23.2,1519.7,"1347.6","1451.2","-",1433.6,1485.4,1459.8,"2021 Zadar CH QF",23,1567.6
219,"Mitchell Krueger",27.4,1518.8,"1515.2","1216.9","1230.4",1517,1367.9,1374.6,"2020 Orlando CH QF",26.8,1579.3
220,"Andrea Pellegrino",24.2,1516.6,"1183.4","1501.5","-",1350,1509.1,1458.3,"2021 Lyon CH R16",24.2,1549.6
221,"Evgeny Donskoy",31.1,1516,"1463.6","1383.8","1486.9",1489.8,1449.9,1501.5,"2015 Pune CH SF",25.5,1721.6
222,"Alex Bolt",28.4,1516,"1566.5","1128.1","1583.9",1541.3,1322,1549.9,"2019 Indian Wells R128",26.2,1668.7
223,"Go Soeda",36.8,1514.1,"1442.1","1299.5","1514.2",1478.1,1406.8,1514.1,"2012 Kaohsiung CH F",27.6,1706.8
224,"Yasutaka Uchiyama",28.9,1513.2,"1475.4","1216.8","1378.9",1494.3,1365,1446,"2019 Playford CH SF",27.2,1723.9
225,"Prajnesh Gunneswaran",31.5,1511.6,"1519.8","1290.1","1307.7",1515.7,1400.8,1409.6,"2019 Anning CH SF",29.4,1728.4
226,"Carlos Gimeno Valero",20,1508.9,"-","1439.8","-",1364.5,1474.4,1454.5,"2021 Las Palmas 2 CH F",19.7,1625.2
227,"Constant Lestienne",29,1506.3,"1475.7","1415.0","1303.9",1491,1460.7,1405.1,"2018 Antwerp Qual",26.4,1637.9
228,"Mikael Torpegaard",27.1,1506,"1460.8","1382.9","1467.6",1483.4,1444.4,1486.8,"2016 Las Vegas CH R16",22.4,1765.6
229,"Filip Cristian Jianu",19.7,1504.1,"1444.4","1450.0","1500.0",1474.3,1477,1502.1,"2019 Sibiu CH R32",18,1617.3
230,"Brayden Schnur",25.9,1503.8,"1418.9","1400.4","1402.9",1461.3,1452.1,1453.3,"2019 New York SF",23.6,1705.7
231,"Ulises Blanch",23.2,1503.7,"1466.7","1298.1","-",1485.2,1400.9,1451.8,"2020 Roland Garros Qual",22.5,1590.8
232,"Zdenek Kolar",24.7,1502.9,"1392.0","1456.2","1379.0",1447.4,1479.5,1441,"2020 Ostrava CH R16",23.9,1589.5
233,"Guilherme Clezar",28.2,1500.9,"1357.3","1465.6","1207.1",1429.1,1483.2,1354,"2013 Porto Alegre CH QF",20.7,1583.8
234,"Mirza Basic",29.9,1500.5,"1399.3","1447.5","1267.9",1449.9,1474,1384.2,"2018 Sofia F",26.6,1710.6
235,"Ramkumar Ramanathan",26.6,1500.4,"1415.8","1361.8","1566.2",1458.1,1431.1,1533.3,"2018 Nanchang CH R16",23.4,1605.9
