"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
212,"Kai Lin Zhang",29.3,1447.9,1358.9,1406.4,"1394.1","2015 Nanjing $100K SF",25.7,1635.9
213,"Sesil Karatantcheva",29.8,1446.4,1410,1343.4,"1332.4","2005 French Open QF",15.8,1969
214,"Kathinka Von Deichmann",25,1444.5,1386.4,1390,"1283.8","2018 Saint Malo $60K QF",24.3,1582
215,"Jana Fett",22.6,1444.1,1332,1386.8,"1400.0","2017 Luxembourg R32",21,1740.4
216,"Valentyna Ivakhnenko",25.9,1442.1,1302,1407.9,"1249.9","2016 St. Petersburg Qual",22.6,1505.5
217,"Naiktha Bains",21.5,1440.7,1346.4,1365.2,"1243.0","2019 W60 La Bisbal D'Emporda QF",21.4,1462
218,"Fanny Stollar",20.6,1439.9,1373.3,1434.9,"1273.5","2018 Hong Kong R32",19.9,1641.1
219,"Fangzhou Liu",23.5,1436.8,1429.5,1098.4,"1245.5","2015 Quanzhou $50K SF",19.3,1620.8
220,"Naomi Broady",29.3,1431.6,1377.2,1280.9,"1357.3","2016 Kuala Lumpur SF",26,1765.7
221,"Isabella Shinikova",27.6,1428.7,1366.1,1306.5,"1156.9","2016 Istanbul $50K QF",24.5,1570.4
222,"Kimberly Birrell",21.1,1428.3,1477.7,1197,"1197.9","2019 W60 Launceston R16",20.8,1597
223,"Ekaterine Gorgodze",27.5,1428.1,1264.6,1418.4,"-","2018 Biarritz $80K R16",26.8,1557.1
224,"Claire Liu",19.1,1427.5,1372,1360.9,"1457.6","2018 Bucharest R16",18.1,1635
225,"Ankita Raina",26.4,1417.2,1429.3,1249.2,"1223.6","2018 Luan $60K QF",25.3,1471.3
226,"Shilin Xu",21.4,1413.1,1292.6,1494.6,"1269.2","2019 Australian Open Qual",21,1464.5
227,"Arina Rodionova",29.5,1412.3,1417.4,1161.1,"1380.3","2017 Nanchang QF",27.6,1612.6
228,"Reka Luca Jani",27.9,1411.4,1223.5,1386.3,"1237.3","2011 Telavi 50K R32",20.2,1519.4
229,"Fang Ying Xun",24.3,1408.4,1376.9,1203,"1350.0","2018 Jinan $60K SF",23.6,1471.7
230,"Kaylah Mcphee",21.4,1408.1,1269.4,1397.9,"1250.2","2019 W60 Kurume SF",21.3,1464
231,"Tereza Mrdeza",28.6,1405.5,1285.6,1374.9,"1113.6","2013 Monterrey R16",22.4,1655.5
232,"Jamie Loeb",24.3,1404.2,1451.9,1270.4,"1269.4","2017 Indian Wells Qual",22,1619.6
233,"Jia Jing Lu",29.5,1403.6,1380.8,1146,"1264.6","2018 Shenzhen $100K R16",29,1455.5
234,"Sabina Sharipova",24.7,1403.2,1359.2,1346.4,"1473.4","2018 Astana $80K F",23.9,1578.8
235,"Ellen Perez",23.7,1403.2,1362.1,1290,"1260.8","2018 Bendigo $60K F",23,1522.5
236,"Mayo Hibi",23.2,1400.9,1298.7,1118.4,"1417.3","2013 Las Vegas NV 50K SF",17.5,1632
237,"Lizette Cabrera",21.5,1398.5,1368.8,1110.7,"1392.0","2017 Taipei QF",19.9,1554.9
238,"Elitsa Kostova",29.1,1396.2,1344.8,1332.2,"1268.4","2016 Stanford R32",26.3,1548.5
239,"Su Jeong Jang",24.1,1386.7,1376.6,1321.5,"1207.5","2017 Quanzhou $60K SF",22,1589.4
240,"Olivia Rogowska",28,1382.3,1430.5,1200.7,"1251.0","2014 Carson CA 50K R16",23.1,1534.8
241,"Zoe Hives",22.6,1382.2,1495.7,1207.5,"1258.3","2019 W60 Burnie R16",22.2,1596.9
242,"Andrea Gamiz",26.6,1381.3,1401.5,1282.1,"1350.0","2016 Acapulco Qual",23.3,1581.2
243,"Anna Zaja",28,1379.5,1249.7,1355.8,"1369.8","2018 Hechingen $60K SF",27.1,1527.1
244,"Amandine Hesse",26.4,1377.7,1326.8,1289.9,"1258.8","2015 Victoria $50K F",22.7,1546.6
245,"Valeria Savinykh",28.3,1374.6,1311.1,1309.2,"1388.0","2012 Osprey FL 50K R16",21.1,1669.8
246,"Deniz Khazaniuk",24.5,1374.3,1332.4,1162.3,"1273.9","2019 W100 Charleston SC R16",24.5,1416.3
247,"Kyoka Okamura",23.7,1373.7,1444.6,1102,"1599.4","2019 W80 Gifu SF",23.6,1494.8
248,"Yuxuan Zhang",24.7,1369.6,1342.2,959.9,"1290.0","2013 Beijing 75K R32",18.9,1568.1
249,"Maria Sanchez",29.5,1361.7,1318.5,1199.8,"1337.7","2012 Phoenix AZ 75K F",22.9,1727.8
250,"Ulrikke Eikeri",26.5,1360.9,1354.1,1266.7,"-","2009 Fed Cup G3 RRB",16.3,1686.7
251,"Ayano Shimizu",21.1,1359.2,1212,1195.3,"1354.7","2018 Wimbledon Qual",20.2,1464.1
252,"Dejana Radanovic",23.1,1358.8,1309.1,1277.1,"1350.0","2019 Nurnberg Qual",23,1456.9
253,"Peangtarn Plipuech",26.5,1354,1280.3,1290.7,"1300.8","2018 Liuzhou $60K R16",26,1386.1
