Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
185,Zhizhen Zhang,1558.9,1419.0,1482.0,1427.4,1488.9,1520.5,1493.2,Zhang Z.
186,Blaz Rola,1557.5,1478.1,1504.4,1452.1,1517.8,1531,1504.8,Rola B.
187,Mats Moraing,1555.9,1357.8,1556.7,1408.3,1456.9,1556.3,1482.1,Moraing M.
188,Enzo Couacaud,1555.2,1546.4,1433.4,1462.7,1550.8,1494.3,1509,Couacaud E.
189,Jiri Lehecka,1554.2,1476.5,1465.4,1500.0,1515.4,1509.8,1527.1,Lehecka J.
190,Marcelo Tomas Barrios Vera,1554.1,1297.6,1510.6,1329.4,1425.8,1532.3,1441.7,Vera M.T.B.
191,Christian Harrison,1551.3,1450.3,1448.1,1542.5,1500.8,1499.7,1546.9,Harrison C.
192,Sebastian Ofner,1550.9,1530.8,1397.6,1506.2,1540.8,1474.2,1528.5,Ofner S.
193,Guido Andreozzi,1550.2,1453.2,1530.8,1243.4,1501.7,1540.5,1396.8,Andreozzi G.
194,Jurij Rodionov,1550,1524.2,1346.1,1390.9,1537.1,1448,1470.5,Rodionov J.
195,Lukas Rosol,1548.4,1502.2,1479.9,1507.9,1525.3,1514.1,1528.2,Rosol L.
196,Kyrian Jacquet,1548.2,1410.0,1432.3,-,1479.1,1490.3,1474.1,Jacquet K.
197,Ernesto Escobedo,1544.3,1550.3,1376.8,1442.7,1547.3,1460.5,1493.5,Escobedo E.
198,Kimmer Coppejans,1542.1,1475.0,1472.8,1176.5,1508.6,1507.4,1359.3,Coppejans K.
199,Alexandre Muller,1541.9,1442.3,1481.8,1350.6,1492.1,1511.9,1446.3,Muller A.
200,Denis Istomin,1539.7,1508.8,1457.5,1432.6,1524.2,1498.6,1486.2,Istomin D.
201,Ernests Gulbis,1539.6,1533.8,1454.5,1484.2,1536.7,1497.1,1511.9,Gulbis E.
202,Thai Son Kwiatkowski,1537.3,1441.7,1452.1,1272.1,1489.5,1494.7,1404.7,Kwiatkowski T.S.
203,Daniel Masur,1535.7,1536.3,1334.1,1275.0,1536,1434.9,1405.4,Masur D.
204,Filip Horansky,1535.7,1376.7,1485.1,1242.8,1456.2,1510.4,1389.3,Horansky F.
205,Lukas Lacko,1533,1445.6,1277.9,1565.6,1489.3,1405.4,1549.3,Lacko L.
206,Sergiy Stakhovsky,1531.2,1452.1,1473.1,1527.0,1491.7,1502.1,1529.1,Stakhovsky S.
207,Vit Kopriva,1530,1345.2,1490.1,-,1437.6,1510,1465,Kopriva V.
208,Thomas Fabbiano,1526.9,1421.3,1467.2,1567.9,1474.1,1497,1547.4,Fabbiano T.
209,Andrea Arnaboldi,1524.4,1458.0,1403.7,1501.6,1491.2,1464,1513,Arnaboldi A.
210,Michael Vrbensky,1524.2,1272.5,1484.4,-,1398.4,1504.3,1462.1,Vrbensky M.
211,Dustin Brown,1523.9,1401.7,1546.5,1538.6,1462.8,1535.2,1531.2,Brown D.
212,Tobias Kamke,1522.7,1454.4,1398.5,1459.0,1488.6,1460.6,1490.8,Kamke T.
